MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
0.6898816,236.3955,114.299385,51.16545,,
2.4977415,104.03512,47.861053,16.598862,,
2.4977415,104.03512,47.861053,16.598862,,
59.793648,142.54576,97.37572,11.703799,,
56.083126,116.10868,85.42798,9.498019,,
1.1631949,106.636604,54.99481,15.779981,,
0.28914624,107.53437,43.956604,19.821901,,
4.2576084,76.01902,31.963127,11.286332,,
0.28914624,107.53437,43.956604,19.821901,,
4.2576084,76.01902,31.963127,11.286332,,
84.527374,177.05792,132.60919,15.669407,,
54.442635,115.24892,85.906,10.208565,,
4.843537,81.871185,39.88098,15.232844,,
60.98756,139.54298,95.60455,12.091888,,
11.678443,150.58537,94.13823,28.433668,,
30.271385,194.69109,126.44966,31.352474,,
0.51815057,115.39087,49.48353,20.6608,,
226.10954,410.07083,312.97693,32.086704,,
226.10954,410.07083,312.97693,32.086704,,
191.27582,386.44022,291.21844,37.365532,,
6.5653,201.85071,99.35352,32.17978,,
84.00998,179.20563,132.21655,16.12459,,
73.73768,157.27058,117.03324,16.702007,,
0.44056123,112.18418,44.06867,16.899729,,
36.041996,166.119,98.93349,18.230116,,
70.15641,181.64093,132.62798,17.681671,,
66.11418,190.38034,118.192406,18.6124,,
12.415919,166.29225,84.424225,23.37913,,
51.188984,121.62901,86.02215,10.921366,,
4.993226,66.47903,27.701157,10.550884,,
1.3326731,81.99228,44.57714,13.582864,,
0.157423,84.3902,23.721823,12.052969,,
32.537952,104.530685,67.99858,11.768916,,
24.68492,78.36504,49.451794,10.088226,,
49.71178,100.51402,72.62755,10.74583,,
0.7995882,72.14776,32.344967,16.071394,,
26.705599,81.36949,56.823215,11.278114,,
26.705599,81.36949,56.823215,11.278114,,
20.3158,122.10722,75.25085,17.856306,,
52.367584,123.94577,89.14292,12.047949,,
36.601994,79.52813,56.309605,8.098744,,
4.2067266,98.72657,53.865013,16.723553,,
46.12076,115.76271,76.83157,12.202825,,
23.909336,139.81589,78.112465,18.912287,,
21.564724,132.03064,71.96024,19.625755,,
21.564724,132.03064,71.96024,19.625755,,
21.564724,132.03064,71.96024,19.625755,,
21.564724,132.03064,71.96024,19.625755,,
32.774105,139.86337,94.2671,16.959772,,
3.2284899,201.40527,106.13892,43.778584,,
3.2284899,201.40527,106.13892,43.778584,,
